job_key,company,role,location,link,first_seen
"sustainiam|associate product manager|noida, uttar pradesh, india",Sustainiam,Associate Product Manager,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/associate-product-manager-at-sustainiam-4432147011?position=2&pageNum=5&refId=Apva%2BI8Fdhv45SIsPlu1Fg%3D%3D&trackingId=dGHbp2w6tCqSee6SRKWdcQ%3D%3D,2026-07-17
"travclan|product manager|new delhi, delhi, india",TravClan,Product Manager,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/product-manager-at-travclan-4439408203?position=6&pageNum=5&refId=Apva%2BI8Fdhv45SIsPlu1Fg%3D%3D&trackingId=wJH3MrwXk5AxafRambAt0A%3D%3D,2026-07-17
"tartanhq|product manager|gurugram, haryana, india",TartanHQ,Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/product-manager-at-tartanhq-4437051453?position=7&pageNum=5&refId=Apva%2BI8Fdhv45SIsPlu1Fg%3D%3D&trackingId=gBOXVSleeygQkBw7AYnivw%3D%3D,2026-07-17
"olx india|product manager|gurugram, haryana, india",OLX India,Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/product-manager-at-olx-india-4435951476?position=1&pageNum=7&refId=wjxytE8aA3Bi6s9V408Blg%3D%3D&trackingId=BjwhAc7aRVDwEX7VRh2JBw%3D%3D,2026-07-17
"vetic|product manager|gurugram, haryana, india",Vetic,Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/product-manager-at-vetic-4437975069?position=2&pageNum=7&refId=wjxytE8aA3Bi6s9V408Blg%3D%3D&trackingId=%2Fy6tOEGLom6Y1%2Bcp7ntJIw%3D%3D,2026-07-17
"somo media|associate product manager in delhi|delhi, india",Somo Media,Associate Product Manager in Delhi,"Delhi, India",https://in.linkedin.com/jobs/view/associate-product-manager-in-delhi-at-somo-media-4434056675?position=3&pageNum=7&refId=wjxytE8aA3Bi6s9V408Blg%3D%3D&trackingId=hYZUHuD7Fq7%2Bf7H6UyBEJw%3D%3D,2026-07-17
"policybazaar.com|product manager|gurugram, haryana, india",Policybazaar.com,Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/product-manager-at-policybazaar-com-4433931508?position=4&pageNum=7&refId=wjxytE8aA3Bi6s9V408Blg%3D%3D&trackingId=7n3YwW0X5hBFG5ZhaUYCpA%3D%3D,2026-07-17
"edme insurance brokers|associate product manager (apm)|mumbai, maharashtra, india",Edme Insurance Brokers,Associate Product Manager (APM),"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/associate-product-manager-apm-at-edme-insurance-brokers-4432099543?position=5&pageNum=7&refId=wjxytE8aA3Bi6s9V408Blg%3D%3D&trackingId=6X%2B5Pl2lH8G%2F56PzDKp24w%3D%3D,2026-07-17
"kite|associate product manager — credit & lending platform|gurgaon, haryana, india",Kite,Associate Product Manager — Credit & Lending Platform,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/associate-product-manager-%E2%80%94-credit-lending-platform-at-kite-4437485428?position=7&pageNum=7&refId=wjxytE8aA3Bi6s9V408Blg%3D%3D&trackingId=9AVbqPgc8idE6JDZCQ8izg%3D%3D,2026-07-17
"the whole truth foods|product manager|mumbai, maharashtra, india",The Whole Truth Foods,Product Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/product-manager-at-the-whole-truth-foods-4438706990?position=10&pageNum=7&refId=wjxytE8aA3Bi6s9V408Blg%3D%3D&trackingId=v1mE3kWrO1rvKmM1W3bPLg%3D%3D,2026-07-17
"birdeye|senior product manager|gurugram, haryana, india",Birdeye,Senior Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/senior-product-manager-at-birdeye-4416853480?position=4&pageNum=0&refId=xv%2BjBLv9YaajkvkVcu79tA%3D%3D&trackingId=xDveWFnDclEQNdHMN%2FAP9w%3D%3D,2026-07-17
cloudeagle.ai|senior product manager|mumbai metropolitan region,CloudEagle.ai,Senior Product Manager,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/senior-product-manager-at-cloudeagle-ai-4377658101?position=6&pageNum=0&refId=xv%2BjBLv9YaajkvkVcu79tA%3D%3D&trackingId=0yahB4YKOof1jjDX7RGupg%3D%3D,2026-07-17
"disco|senior product manager - india|gurugram, haryana, india",DISCO,Senior Product Manager - India,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/senior-product-manager-india-at-disco-4426617242?position=1&pageNum=2&refId=ZefeVL0knF%2B4z3P7Bcv8Pw%3D%3D&trackingId=r4S8sNUDRPs3NAiMJLS5kA%3D%3D,2026-07-17
"adobe|senior product manager|noida, uttar pradesh, india",Adobe,Senior Product Manager,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/senior-product-manager-at-adobe-4418269916?position=2&pageNum=2&refId=ZefeVL0knF%2B4z3P7Bcv8Pw%3D%3D&trackingId=TJwMw4sMYTJqMKAfk7ucKw%3D%3D,2026-07-17
"vutto|senior product manager|dwarka, delhi, india",Vutto,Senior Product Manager,"Dwarka, Delhi, India",https://in.linkedin.com/jobs/view/senior-product-manager-at-vutto-4424428673?position=3&pageNum=2&refId=ZefeVL0knF%2B4z3P7Bcv8Pw%3D%3D&trackingId=0f04031Sa%2B1Mu6SAe2YLLw%3D%3D,2026-07-17
"hownow|senior product manager - hybrid|mumbai, maharashtra, india",HowNow,Senior Product Manager - Hybrid,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-product-manager-hybrid-at-hownow-4432524792?position=5&pageNum=2&refId=ZefeVL0knF%2B4z3P7Bcv8Pw%3D%3D&trackingId=4I%2BGIv5tYwNmAtF7pv042g%3D%3D,2026-07-17
"the souled store|senior product manager – business & tech|mumbai, maharashtra, india",The Souled Store,Senior Product Manager – Business & Tech,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-product-manager-%E2%80%93-business-tech-at-the-souled-store-4429664105?position=9&pageNum=2&refId=ZefeVL0knF%2B4z3P7Bcv8Pw%3D%3D&trackingId=fT2a79Pn2v7HDRGKBQhauw%3D%3D,2026-07-17
"mintifi|senior product manager|mumbai, maharashtra, india",Mintifi,Senior Product Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-product-manager-at-mintifi-4432571574?position=10&pageNum=5&refId=hOl7p0DtoC42YWD9VDVQ4g%3D%3D&trackingId=EWrJw%2BLcfPeHCHZWybmrPw%3D%3D,2026-07-17
"optum|lead digital product manager|gurugram, haryana, india",Optum,Lead Digital Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/lead-digital-product-manager-at-optum-4431823976?position=10&pageNum=0&refId=3XgcGfFF8eUDHViuVllabA%3D%3D&trackingId=a%2BXv%2B%2BZU0ShAdflXgfyS2g%3D%3D,2026-07-17
"battery smart|lead product manager|gurugram, haryana, india",Battery Smart,Lead Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/lead-product-manager-at-battery-smart-4440211736?position=1&pageNum=2&refId=OAAnSBH%2B6dA0PqhzSJ6lwQ%3D%3D&trackingId=514P4LkuodS7bTOU8Ar11g%3D%3D,2026-07-17
icici lombard|icici lombard - lead product manager - mobile app|mumbai metropolitan region,ICICI Lombard,ICICI Lombard - Lead Product Manager - Mobile App,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/icici-lombard-lead-product-manager-mobile-app-at-icici-lombard-4441692722?position=8&pageNum=2&refId=OAAnSBH%2B6dA0PqhzSJ6lwQ%3D%3D&trackingId=rhG42X2cm3HjRxyPXbWYlw%3D%3D,2026-07-17
"pepper|senior product manager (ai)|mumbai, maharashtra, india",Pepper,Senior Product Manager (AI),"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-product-manager-ai-at-pepper-4433468804?position=4&pageNum=5&refId=yRqPswRVMB5YQqs4mO6Xyg%3D%3D&trackingId=EL5%2B9ZTP8kgkPebaZD8k1w%3D%3D,2026-07-17
solytics partners|product manager|mumbai metropolitan region,Solytics Partners,Product Manager,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/product-manager-at-solytics-partners-4369182899?position=1&pageNum=7&refId=HNKujlBY026JvfJgxkXmCg%3D%3D&trackingId=Ut2NJSngBIICq2IpWfFxTw%3D%3D,2026-07-17
"pluxee|local lead product manager|mumbai, maharashtra, india",Pluxee,Local Lead Product Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/local-lead-product-manager-at-pluxee-4427376604?position=3&pageNum=7&refId=HNKujlBY026JvfJgxkXmCg%3D%3D&trackingId=tM1xaIenKQDeQoCXANtdOA%3D%3D,2026-07-17
"adobe|principal product manager|noida, uttar pradesh, india",Adobe,Principal Product Manager,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/principal-product-manager-at-adobe-4389578010?position=4&pageNum=7&refId=HNKujlBY026JvfJgxkXmCg%3D%3D&trackingId=jqjX6s1tQmvUTDYXneo7Bw%3D%3D,2026-07-17
nasdaq|lead product manager|mumbai metropolitan region,Nasdaq,Lead Product Manager,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/lead-product-manager-at-nasdaq-4405640348?position=5&pageNum=7&refId=HNKujlBY026JvfJgxkXmCg%3D%3D&trackingId=t4aKDONgj9w2YN0qfX22DA%3D%3D,2026-07-17
"saarthee|product manager|mumbai, maharashtra, india",Saarthee,Product Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/product-manager-at-saarthee-4432665830?position=10&pageNum=7&refId=HNKujlBY026JvfJgxkXmCg%3D%3D&trackingId=tehkCMrjzDgd%2F%2BREFZnrWw%3D%3D,2026-07-17
"idfc first bank|product manager-cash management|mumbai, maharashtra, india",IDFC FIRST Bank,Product Manager-Cash Management,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/product-manager-cash-management-at-idfc-first-bank-4411314631?position=2&pageNum=7&refId=1S2NN0aMjLmWV5RjJzbxQw%3D%3D&trackingId=OBwGauZekylIc5RYdj9%2FYQ%3D%3D,2026-07-17
sun pharma|group product manager - cns (synastra)|mumbai metropolitan region,SUN PHARMA,Group Product Manager - CNS (Synastra),Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/group-product-manager-cns-synastra-at-sun-pharma-4426854563?position=8&pageNum=7&refId=1S2NN0aMjLmWV5RjJzbxQw%3D%3D&trackingId=9hSkd5BRhBDlDlWaWBaGWw%3D%3D,2026-07-17
"attentive.ai|associate product manager|noida, uttar pradesh, india",Attentive.ai,Associate Product Manager,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/associate-product-manager-at-attentive-ai-4439863243?position=2&pageNum=2&refId=Xea1twYSUBWs9GVAAiipYQ%3D%3D&trackingId=6WG%2FXuLywjDC7sMhaytFRA%3D%3D,2026-07-17
"airtel payments bank|product manager ( analytics background )|gurugram, haryana, india",Airtel Payments Bank,Product Manager ( Analytics Background ),"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/product-manager-analytics-background-at-airtel-payments-bank-4438620227?position=3&pageNum=2&refId=Xea1twYSUBWs9GVAAiipYQ%3D%3D&trackingId=CjdDaY9IKHtxyvdelm%2Fcvw%3D%3D,2026-07-17
"indmoney|associate product manager – growth|gurugram, haryana, india",INDmoney,Associate Product Manager – Growth,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/associate-product-manager-%E2%80%93-growth-at-indmoney-4436703686?position=5&pageNum=2&refId=Xea1twYSUBWs9GVAAiipYQ%3D%3D&trackingId=NezdiJIzAF7jKgX%2B5Lj8Ag%3D%3D,2026-07-17
purplle.com|associate product manager - retail operations|mumbai metropolitan region,Purplle.com,Associate Product Manager - Retail Operations,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/associate-product-manager-retail-operations-at-purplle-com-4405642418?position=8&pageNum=2&refId=Xea1twYSUBWs9GVAAiipYQ%3D%3D&trackingId=EoTWuLtABFC3K3o2zcY7Ag%3D%3D,2026-07-17
recro|product manager|mumbai metropolitan region,Recro,Product Manager,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/product-manager-at-recro-4440773177?position=2&pageNum=7&refId=yBsBy%2FnyOYA1J1U%2BUJnRdw%3D%3D&trackingId=ESn02DSNNptA22VX1vNv0Q%3D%3D,2026-07-17
"revolut|product marketing manager (credit)|gurgaon, haryana, india",Revolut,Product Marketing Manager (Credit),"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/product-marketing-manager-credit-at-revolut-4439868029?position=7&pageNum=7&refId=yBsBy%2FnyOYA1J1U%2BUJnRdw%3D%3D&trackingId=BhSOpYMU6%2BaIMpzbReSDsg%3D%3D,2026-07-17
"bennett coleman & co. ltd. (the times of india)|brand manager|new delhi, delhi, india",Bennett Coleman & Co. Ltd. (The Times of India),Brand Manager,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/brand-manager-at-bennett-coleman-co-ltd-the-times-of-india-4436536483?position=7&pageNum=2&refId=ihXV3TaIUun4O%2BstY%2Bgi8A%3D%3D&trackingId=RXhthbF0Q8Z9OnyKO4HOrQ%3D%3D,2026-07-17
"carrier|product marketing manager – totaline & aftermarket|gurgaon, haryana, india",Carrier,Product Marketing Manager – Totaline & Aftermarket,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/product-marketing-manager-%E2%80%93-totaline-aftermarket-at-carrier-4440768577?position=10&pageNum=7&refId=0GO1%2FO334WzfT6cYpjFKIA%3D%3D&trackingId=nQldGgGbdTIoOK1jCcEsMw%3D%3D,2026-07-17
"albatrot|brand manager|mumbai, maharashtra, india",Albatrot,Brand Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/brand-manager-at-albatrot-4433930025?position=4&pageNum=2&refId=tz1INLsqIbgtZLLqz0Gs%2BA%3D%3D&trackingId=FCpHLOv2WNvJUtPCehBfYQ%3D%3D,2026-07-17
the house of abhinandan lodha|brand manager|mumbai metropolitan region,The House of Abhinandan Lodha,Brand Manager,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/brand-manager-at-the-house-of-abhinandan-lodha-4432959917?position=6&pageNum=2&refId=tz1INLsqIbgtZLLqz0Gs%2BA%3D%3D&trackingId=ym4dDVkZFTldbcyVeCX1zA%3D%3D,2026-07-17
abbott|brand manager - pediatric nutrition strategy & execution|mumbai metropolitan region,Abbott,Brand Manager - Pediatric Nutrition Strategy & Execution,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/brand-manager-pediatric-nutrition-strategy-execution-at-abbott-4440958374?position=8&pageNum=2&refId=tz1INLsqIbgtZLLqz0Gs%2BA%3D%3D&trackingId=p%2B5cLMHzgv6iuYsiAYqzPA%3D%3D,2026-07-17
"unison international consulting (the recruitment company)|brand manager/merchandiser|mumbai, maharashtra, india",UNISON INTERNATIONAL CONSULTING (The Recruitment Company),Brand Manager/Merchandiser,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/brand-manager-merchandiser-at-unison-international-consulting-the-recruitment-company-4439406315?position=9&pageNum=2&refId=tz1INLsqIbgtZLLqz0Gs%2BA%3D%3D&trackingId=FMVlBLw6%2Bv4VYNy4px%2BKZw%3D%3D,2026-07-17
"pernod ricard india|senior brand manager|gurugram, haryana, india",Pernod Ricard India,Senior Brand Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/senior-brand-manager-at-pernod-ricard-india-4437348712?position=1&pageNum=0&refId=FWUpNMjzLoQLbb2VZ96iJQ%3D%3D&trackingId=F7c7Qx%2FiPEbKfMp4WMiV1w%3D%3D,2026-07-17
rebel foods|senior brand manager|mumbai metropolitan region,Rebel Foods,Senior Brand Manager,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/senior-brand-manager-at-rebel-foods-4437171377?position=2&pageNum=0&refId=FWUpNMjzLoQLbb2VZ96iJQ%3D%3D&trackingId=a5cw1A%2BwdMLJkNX9JXrSeQ%3D%3D,2026-07-17
"google|product marketing manager, brand and reputation|gurugram, haryana, india",Google,"Product Marketing Manager, Brand and Reputation","Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/product-marketing-manager-brand-and-reputation-at-google-4424586619?position=4&pageNum=0&refId=FWUpNMjzLoQLbb2VZ96iJQ%3D%3D&trackingId=Sdor6Y1FOlv%2BBXDEc%2BP9tg%3D%3D,2026-07-17
"google|product marketing manager, brand and reputation|mumbai, maharashtra, india",Google,"Product Marketing Manager, Brand and Reputation","Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/product-marketing-manager-brand-and-reputation-at-google-4424589654?position=5&pageNum=0&refId=FWUpNMjzLoQLbb2VZ96iJQ%3D%3D&trackingId=%2Bt5dnjGMMJ0Yxl54ni0UuQ%3D%3D,2026-07-17
"mars cosmetics|brand manager|delhi, india",MARS Cosmetics,Brand Manager,"Delhi, India",https://in.linkedin.com/jobs/view/brand-manager-at-mars-cosmetics-4440019987?position=6&pageNum=0&refId=FWUpNMjzLoQLbb2VZ96iJQ%3D%3D&trackingId=ze32HFjv%2BKMicN3ul8EhWQ%3D%3D,2026-07-17
the magnum ice cream company|brand manager - ice cream|mumbai metropolitan region,The Magnum Ice Cream Company,Brand Manager - Ice Cream,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/brand-manager-ice-cream-at-the-magnum-ice-cream-company-4439166019?position=7&pageNum=0&refId=FWUpNMjzLoQLbb2VZ96iJQ%3D%3D&trackingId=mEojj9ji7C65%2BIZ%2FvyEfVw%3D%3D,2026-07-17
"traya|brand manager|mumbai, maharashtra, india",Traya,Brand Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/brand-manager-at-traya-4437272474?position=10&pageNum=0&refId=FWUpNMjzLoQLbb2VZ96iJQ%3D%3D&trackingId=5RmQWQkXQBEZDMPVj555wA%3D%3D,2026-07-17
dr. reddy's laboratories|group brand manager - caris|mumbai metropolitan region,Dr. Reddy's Laboratories,Group Brand Manager - CARIS,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/group-brand-manager-caris-at-dr-reddy-s-laboratories-4440386991?position=9&pageNum=5&refId=82Hi9D3ncyNMbH6VgakQ8A%3D%3D&trackingId=DHOHs4wZ%2BCOIH9SS1ERwrw%3D%3D,2026-07-17
sun pharma|product manager - branded products (emerging markets)|mumbai metropolitan region,SUN PHARMA,Product Manager - Branded Products (Emerging Markets),Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/product-manager-branded-products-emerging-markets-at-sun-pharma-4341878440?position=7&pageNum=7&refId=WExXLaV8o8sCoihckhidng%3D%3D&trackingId=enLrpu87a30jP5d501uU3A%3D%3D,2026-07-17
"havells india ltd|strategy manager/senior manager:cables|noida, uttar pradesh, india",Havells India Ltd,Strategy Manager/Senior Manager:Cables,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/strategy-manager-senior-manager-cables-at-havells-india-ltd-4419229359?position=5&pageNum=0&refId=u%2FDQ6QjsPKiym8Klb77UuQ%3D%3D&trackingId=pO9J0xhwtVT%2FsBhjMEC0qA%3D%3D,2026-07-17
"traya|business strategy manager|mumbai, maharashtra, india",Traya,Business Strategy Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/business-strategy-manager-at-traya-4430690543?position=7&pageNum=0&refId=u%2FDQ6QjsPKiym8Klb77UuQ%3D%3D&trackingId=RJ1lhP2BfSI%2F5u%2FS%2FV1e9A%3D%3D,2026-07-17
route mobile limited|strategy manager|mumbai metropolitan region,Route Mobile Limited,Strategy Manager,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/strategy-manager-at-route-mobile-limited-4440783120?position=10&pageNum=0&refId=u%2FDQ6QjsPKiym8Klb77UuQ%3D%3D&trackingId=kl6VTZzGGy0ZJUIH3lXBSQ%3D%3D,2026-07-17
"aramco|sr. strategy & market consultant ( relocation required to saudi arabia )|gurugram, haryana, india",aramco,Sr. Strategy & Market Consultant ( Relocation required to Saudi Arabia ),"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/sr-strategy-market-consultant-relocation-required-to-saudi-arabia-at-aramco-4432946180?position=2&pageNum=2&refId=ovzyS%2FLjqjNtAyeXZKxURQ%3D%3D&trackingId=cd6NJKNCSPF0zZXeWZ15ig%3D%3D,2026-07-17
"glenmark pharmaceuticals|senior strategy manager|mumbai, maharashtra, india",Glenmark Pharmaceuticals,Senior Strategy Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-strategy-manager-at-glenmark-pharmaceuticals-4437256199?position=5&pageNum=2&refId=ovzyS%2FLjqjNtAyeXZKxURQ%3D%3D&trackingId=FPGH8dyUYNhAokWRqynpPw%3D%3D,2026-07-17
"leadership talent hunters|strategy manager|mumbai, maharashtra, india",Leadership Talent Hunters,Strategy Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/strategy-manager-at-leadership-talent-hunters-4439784859?position=4&pageNum=5&refId=vJgyvE%2Fxcx0ldf1p5xixeA%3D%3D&trackingId=0wRgFKrxe1aHcpMWuy6SAg%3D%3D,2026-07-17
"walplast products pvt. ltd.|strategy manager - navi mumbai|navi mumbai, maharashtra, india",Walplast Products Pvt. Ltd.,Strategy Manager - Navi Mumbai,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/strategy-manager-navi-mumbai-at-walplast-products-pvt-ltd-4432764408?position=7&pageNum=2&refId=gN0qGIxeJ5BfMJ3d8ZCzFQ%3D%3D&trackingId=lSgJfGSfiySV3XxgitvUYw%3D%3D,2026-07-17
"interactive avenues|senior strategy manager|mumbai, maharashtra, india",Interactive Avenues,Senior Strategy Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-strategy-manager-at-interactive-avenues-4430958699?position=7&pageNum=7&refId=9ChyqJ2ZXQYQwSfFHyvp6w%3D%3D&trackingId=Q6inZxL0yxnnDti5k96Qzg%3D%3D,2026-07-17
"tata consultancy services|banner consultant|new delhi, delhi, india",Tata Consultancy Services,Banner Consultant,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/banner-consultant-at-tata-consultancy-services-4440207353?position=2&pageNum=5&refId=%2BvxFbikkgwl5p%2Bgfaubf5A%3D%3D&trackingId=pnhDzPDM3vhMAli7RF1DIQ%3D%3D,2026-07-17
